time,lastnum,result,maximumRoll,maximum,minimum
100,1545,end,0,2010,1400
100,1835,end,12,2115,1450
100,1990,end,93,2210,1800
100,2000,end,66,2145,1740
100,1790,end,23,2125,1670
100,2040,end,65,2280,1690
100,1305,end,0,2010,1150
92,2335,win,91,2335,1660
100,1670,end,25,2230,1580
100,1720,end,32,2150,1585
100,1135,end,0,1930,995
27,2340,win,26,2340,1850
100,1800,end,38,2055,1370
100,1835,end,13,2045,1725
100,2000,end,94,2180,1490
100,1760,end,10,2095,1590
100,1855,end,90,2025,1585
100,1740,end,40,2285,1470
52,2375,win,51,2375,1740
100,1525,end,52,2105,1525
100,1300,end,6,2080,1300
100,1830,end,62,2190,1690
39,2320,win,38,2320,1780
100,1615,end,0,1990,1365
100,1375,end,8,2120,1315
100,1215,end,33,2230,1195
14,2305,win,13,2305,1900
100,1880,end,0,1990,1390
100,1895,end,0,1930,1515
100,2070,end,64,2300,1775
100,1500,end,55,2045,1445
64,2470,win,63,2470,1620
100,1495,end,0,1990,1350
100,1205,end,12,2190,1145
100,1820,end,52,2210,1780
100,1910,end,30,2140,1600
100,1490,end,23,2065,1190
100,1565,end,10,2050,1565
100,1665,end,1,1950,1535
100,1660,end,1,1950,1180
47,2325,win,46,2325,1845
12,2385,win,11,2385,1900
46,2465,win,45,2465,1870
100,1945,end,48,2115,1755
100,1025,end,11,2030,1005
100,1810,end,63,2070,1660
100,1630,end,8,2125,1440
100,1970,end,24,2110,1695
100,1305,end,60,2115,1305
100,1005,end,21,2095,1005
100,1220,end,10,1960,1140
55,2350,win,54,2350,1830
100,1215,end,4,2025,1215
36,2355,win,35,2355,1900
100,1340,end,0,2010,950
100,1785,end,4,2180,1570
100,1645,end,2,2010,1370
100,1135,end,16,2235,1135
100,2015,end,53,2285,1725
100,1885,end,82,2235,1820
100,1245,end,0,1930,1235
48,2385,win,47,2385,1815
100,1700,end,0,1930,1500
48,2480,win,47,2480,1810
100,1730,end,3,2035,1480
100,2235,end,73,2255,1735
58,2390,win,57,2390,1660
100,1980,end,45,2145,1720
54,2335,win,53,2335,1820
100,1345,end,0,1930,1010
62,2310,win,61,2310,1880
100,1725,end,36,2090,1565
100,1615,end,15,2170,1350
100,1610,end,29,2200,1480
100,1705,end,48,2090,1520
100,1265,end,19,2165,1265
100,1930,end,47,1945,1590
79,2405,win,78,2405,1900
70,2355,win,69,2355,1830
20,2305,win,19,2305,1890
35,2325,win,34,2325,1880
100,2140,end,77,2230,1825
100,1870,end,91,2060,1640
100,1575,end,6,2010,1505
47,2340,win,46,2340,1830
39,2340,win,38,2340,1800
100,1755,end,21,2005,1615
84,2305,win,83,2305,1865
100,1850,end,74,1970,1590
100,1785,end,21,2215,1655
91,2400,win,90,2400,1740
100,1735,end,0,1930,1460
100,1720,end,1,2000,1365
32,2335,win,31,2335,1930
100,2275,end,99,2275,1675
24,2315,win,23,2315,1880
100,2030,end,45,2260,1860
100,1200,end,0,2010,1155
100,1310,end,1,2010,1165
time,lastnum,result,maximumRoll,maximum,minimum
100,2000,end,99,2000,1560
100,1765,end,5,2070,1520
12,2180,win,11,2180,1920
100,1330,end,10,2000,1330
68,2110,win,67,2110,1765
100,1940,end,43,2050,1660
100,1990,end,96,2060,1295
12,2110,win,11,2110,1840
9,2190,win,8,2190,1940
7,2140,win,6,2140,1920
87,2150,win,86,2150,1750
10,2145,win,9,2145,1870
26,2110,win,25,2110,1880
100,1645,end,20,2080,1595
61,2140,win,60,2140,1740
28,2140,win,27,2140,1840
100,1650,end,79,2065,1590
100,1310,end,0,1990,1195
6,2140,win,5,2140,1900
9,2105,win,8,2105,1880
18,2190,win,17,2190,1830
7,2180,win,6,2180,1880
29,2110,win,28,2110,1820
100,1525,end,9,2030,1385
